Date,TempMax,TempMin,Humidity,Wind,Rainfall,AQI
2017-01-01,22.83,8.3,54.12,1.75,0.01,345.0
2017-01-02,23.94,9.86,57.95,1.53,0.01,337.0
2017-01-03,25.48,8.39,47.56,1.315,0.0,331.0
2017-01-04,25.38,11.02,42.65,1.465,0.0,381.0
2017-01-05,26.5,12.12,33.62,1.14,0.0,321.0
2017-01-06,25.86,8.89,35.62,2.05,0.02,351.0
2017-01-07,21.33,11.12,57.35,2.125,5.86,278.0
2017-01-08,20.86,8.24,61.14,1.38,0.0,288.0
2017-01-09,19.59,6.59,45.86,2.38,0.0,308.0
2017-01-10,19.13,3.6,32.59,2.79,0.0,247.0
2017-01-11,18.71,1.51,29.23,2.535,0.0,280.0
2017-01-12,18.66,2.48,31.12,2.155,0.01,323.0
2017-01-13,20.04,3.55,30.34,1.94,0.0,326.0
2017-01-14,21.18,3.24,28.28,1.5,0.0,384.0
2017-01-15,23.47,6.46,27.27,1.28,0.02,326.0
2017-01-16,23.29,7.23,31.32,2.09,0.0,355.0
2017-01-17,19.13,4.14,48.37,1.885,0.0,245.0
2017-01-18,22.52,4.61,41.31,1.815,0.0,317.0
2017-01-19,22.32,5.86,38.21,3.145,0.0,300.0
2017-01-20,21.69,4.54,41.31,2.73,0.0,216.0
2017-01-21,21.81,7.22,29.41,1.875,0.0,286.0
2017-01-22,26.66,9.66,34.56,1.81,0.0,365.0
2017-01-23,26.34,9.37,35.81,2.28,0.0,309.0
2017-01-24,26.47,9.23,39.07,1.615,0.0,336.0
2017-01-25,27.45,12.45,39.07,2.38,0.01,366.0
2017-01-26,27.57,13.09,52.57,2.705,6.18,324.0
2017-01-27,19.49,10.16,75.14,2.205,13.82,118.0
2017-01-28,22.9,6.99,66.4,2.41,0.0,212.0
2017-01-29,25.33,8.71,51.96,2.655,0.0,211.0
2017-01-30,25.62,8.39,43.57,1.57,0.0,
2017-01-31,25.3,9.13,46.66,2.135,0.0,366.0
2017-02-01,24.21,8.28,50.75,1.935,0.0,273.0
2017-02-02,24.4,8.77,41.73,1.005,0.0,327.0
2017-02-03,25.92,7.13,44.22,1.47,0.0,314.0
2017-02-04,25.92,10.76,41.04,2.115,0.0,336.0
2017-02-05,25.63,11.63,45.41,1.86,0.39,260.0
2017-02-06,23.68,9.65,47.81,2.595,0.05,306.0
2017-02-07,23.99,6.4,38.55,2.58,0.0,148.0
2017-02-08,25.36,8.4,36.61,1.815,0.0,254.0
2017-02-09,23.25,8.32,38.15,2.92,0.0,268.0
2017-02-10,24.14,6.52,43.06,2.52,0.0,249.0
2017-02-11,25.53,6.99,37.6,1.655,0.0,239.0
2017-02-12,25.25,7.23,38.12,1.03,0.0,274.0
2017-02-13,25.77,7.58,38.29,2.12,0.0,279.0
2017-02-14,27.73,7.42,38.09,2.405,0.0,303.0
2017-02-15,29.03,9.43,36.3,2.28,0.0,294.0
2017-02-16,30.71,13.38,38.53,3.055,0.0,284.0
2017-02-17,30.4,14.39,42.52,2.8800000000000003,0.0,294.0
2017-02-18,31.56,12.76,43.36,2.61,0.0,236.0
2017-02-19,32.29,15.41,39.41,2.27,0.0,237.0
2017-02-20,32.41,15.37,35.97,1.955,0.0,243.0
2017-02-21,27.18,11.93,32.3,2.745,0.01,254.0
2017-02-22,28.51,11.85,20.49,2.2350000000000003,0.0,236.0
2017-02-23,28.16,8.6,23.18,3.245,0.0,182.0
2017-02-24,28.28,9.39,21.47,3.985,0.0,226.0
2017-02-25,30.29,10.63,20.67,3.675,0.0,208.0
2017-02-26,30.52,10.56,21.57,2.535,0.0,256.0
2017-02-27,31.1,10.38,21.27,2.455,0.0,226.0
2017-02-28,32.79,15.17,18.66,1.835,0.0,266.0
2017-03-01,31.87,17.9,26.68,2.055,0.11,290.0
2017-03-02,29.53,16.63,32.2,1.77,1.53,258.0
2017-03-03,29.71,13.65,20.99,2.425,0.0,141.0
2017-03-04,28.78,11.0,23.5,2.585,0.0,173.0
