Date,TempMax,TempMin,Humidity,Wind,Rainfall,AQI
2017-01-01,29.71,14.1,56.83,1.41,0.0,
2017-01-02,29.71,13.63,53.13,1.485,0.0,
2017-01-03,29.31,13.73,48.11,1.64,0.0,
2017-01-04,28.93,11.64,42.13,1.93,0.0,
2017-01-05,28.92,11.7,41.88,2.17,0.0,
2017-01-06,29.74,13.33,36.69,1.645,0.0,
2017-01-07,29.89,12.32,53.63,2.26,0.0,
2017-01-08,30.07,13.83,59.66,2.25,0.0,
2017-01-09,29.37,15.73,57.74,2.4000000000000004,0.0,
2017-01-10,29.76,14.38,47.49,1.31,0.0,
2017-01-11,28.93,13.61,40.66,2.175,0.0,
2017-01-12,27.86,11.64,39.37,1.69,0.0,
2017-01-13,28.24,12.4,38.28,1.98,0.0,
2017-01-14,28.08,11.58,42.84,2.21,0.0,
2017-01-15,29.07,13.62,51.1,2.165,0.0,
2017-01-16,30.11,14.15,35.74,1.78,0.0,
2017-01-17,30.17,15.42,34.98,1.5950000000000002,0.0,
2017-01-18,29.58,13.01,47.22,2.33,0.0,
2017-01-19,28.98,14.51,57.85,2.085,0.0,
2017-01-20,29.99,14.61,43.28,1.81,0.0,
2017-01-21,31.4,14.34,39.87,2.13,0.0,
2017-01-22,32.34,15.93,45.62,1.855,0.0,
2017-01-23,32.09,16.74,43.56,2.11,0.0,
2017-01-24,31.68,14.78,39.24,2.13,0.0,
2017-01-25,31.01,14.21,47.49,2.01,0.0,
2017-01-26,30.41,16.15,49.1,2.51,0.0,
2017-01-27,31.16,17.5,52.27,1.77,0.0,
2017-01-28,31.91,18.35,40.38,1.91,0.0,
2017-01-29,31.74,14.73,30.75,1.87,0.0,
2017-01-30,32.95,14.47,22.75,1.985,0.0,
2017-01-31,33.27,16.56,28.06,1.56,0.0,
2017-02-01,33.09,16.84,36.04,1.675,0.0,
2017-02-02,31.65,15.47,51.57,2.2,0.0,
2017-02-03,32.02,15.3,49.27,1.65,0.0,
2017-02-04,32.87,15.66,32.79,2.13,0.0,
2017-02-05,32.71,14.6,40.02,1.685,0.0,
2017-02-06,33.97,15.62,30.42,1.22,0.0,
2017-02-07,33.08,16.12,26.82,1.725,0.0,
2017-02-08,33.69,15.9,25.97,2.045,0.0,
2017-02-09,34.14,17.59,27.85,1.345,0.0,
2017-02-10,33.36,16.58,35.5,1.94,0.0,
2017-02-11,33.1,15.61,42.1,2.995,0.0,
2017-02-12,31.62,14.77,51.76,2.77,0.0,
2017-02-13,31.55,15.05,54.78,2.635,0.0,
2017-02-14,32.54,15.58,49.45,2.16,0.0,
2017-02-15,32.22,16.43,40.43,2.435,0.0,
2017-02-16,32.96,16.41,41.22,2.32,0.0,
2017-02-17,33.74,16.14,29.02,2.63,0.0,
2017-02-18,34.82,16.33,27.8,2.415,0.0,
2017-02-19,35.68,17.85,24.98,2.15,0.0,
2017-02-20,36.91,19.7,16.23,1.6349999999999998,0.0,
2017-02-21,37.52,18.77,15.05,1.5699999999999998,0.0,
2017-02-22,37.37,17.73,25.14,1.435,0.0,
2017-02-23,37.98,19.78,20.67,1.66,0.0,188.0
2017-02-24,36.78,18.18,16.86,2.475,0.0,157.0
2017-02-25,35.06,16.25,14.24,2.85,0.0,148.0
2017-02-26,35.55,16.77,10.52,2.77,0.0,162.0
2017-02-27,35.46,18.9,20.12,2.19,0.0,126.0
2017-02-28,36.35,20.14,24.1,1.995,0.0,163.0
2017-03-01,35.82,18.13,25.63,2.12,0.0,140.0
2017-03-02,35.21,17.2,34.24,2.245,0.0,133.0
2017-03-03,36.02,17.36,25.84,2.8150000000000004,0.0,92.0
2017-03-04,36.06,15.73,35.77,2.405,0.0,94.0
2017-03-05,36.64,20.1,48.25,1.91,0.0,84.0
2017-03-06,36.96,20.9,44.97,1.71,0.0,87.0
2017-03-07,36.78,20.84,44.63,2.575,0.0,82.0
2017-03-08,37.21,21.61,41.62,2.08,0.0,90.0
2017-03-09,37.15,19.58,38.83,1.5,0.0,
2017-03-10,37.31,21.81,39.35,3.055,0.32,77.0
2017-03-11,35.89,19.55,21.42,3.055,0.05,174.0
2017-03-12,35.35,17.61,16.63,2.395,0.0,150.0
2017-03-13,35.33,16.94,17.92,1.855,0.0,134.0
2017-03-14,34.69,19.38,44.28,2.285,0.03,124.0
2017-03-15,33.79,21.44,52.16,2.135,0.87,62.0
2017-03-16,32.11,21.49,55.38,1.365,6.2,63.0
2017-03-17,35.58,20.94,47.0,2.14,0.05,75.0
2017-03-18,36.9,21.85,26.12,1.67,0.0,152.0
2017-03-19,37.32,19.57,32.33,1.935,0.0,156.0
2017-03-20,36.4,19.9,31.28,1.96,0.0,150.0
2017-03-21,36.65,19.24,26.03,2.225,0.0,136.0
2017-03-22,37.8,21.38,18.97,2.29,0.0,138.0
2017-03-23,38.6,20.02,26.3,1.765,0.0,160.0
2017-03-24,39.6,20.54,31.59,2.005,0.0,120.0
2017-03-25,40.02,21.47,29.72,1.77,0.0,153.0
2017-03-26,39.92,21.4,33.54,2.04,0.0,147.0
2017-03-27,40.06,21.81,34.27,2.015,0.0,134.0
2017-03-28,39.73,22.33,30.58,2.075,0.0,122.0
2017-03-29,40.36,21.75,32.95,2.245,0.0,
2017-03-30,40.54,22.37,32.94,2.225,0.0,103.0
2017-03-31,41.04,22.59,31.91,2.56,0.0,118.0
2017-04-01,41.26,24.05,26.53,2.115,0.0,115.0
2017-04-02,40.76,25.3,27.86,2.33,0.01,145.0
2017-04-03,40.52,25.82,27.39,2.87,0.0,124.0
2017-04-04,39.86,23.63,39.14,2.815,0.8,108.0
2017-04-05,39.61,24.99,40.91,2.51,1.26,114.0
2017-04-06,40.69,25.66,32.51,2.045,0.0,110.0
2017-04-07,39.99,25.24,37.36,1.955,0.0,126.0
2017-04-08,40.72,26.51,30.75,1.18,0.0,157.0
2017-04-09,41.5,25.95,26.46,1.65,0.0,198.0
2017-04-10,41.41,24.93,24.18,2.525,0.04,161.0
2017-04-11,40.34,22.8,10.64,2.845,0.0,172.0
2017-04-12,40.71,24.5,8.93,2.12,0.0,
2017-04-13,40.9,21.41,19.37,1.915,0.0,
2017-04-14,41.17,22.1,30.09,2.415,0.0,146.0
2017-04-15,41.69,22.6,32.14,2.54,0.0,145.0
2017-04-16,43.23,23.67,21.57,2.23,0.0,165.0
2017-04-17,43.31,24.51,14.22,2.635,0.0,209.0
2017-04-18,42.9,24.43,27.74,1.665,0.0,213.0
2017-04-19,41.89,24.78,33.66,1.81,0.0,142.0
2017-04-20,42.29,24.89,30.23,1.615,0.0,136.0
2017-04-21,42.52,25.87,21.92,1.815,0.0,147.0
2017-04-22,42.25,25.65,17.71,2.845,0.0,177.0
2017-04-23,41.21,25.23,18.11,3.5650000000000004,0.0,192.0
2017-04-24,41.16,24.71,17.35,3.435,0.0,188.0
2017-04-25,41.4,24.27,16.45,2.4000000000000004,0.0,182.0
2017-04-26,41.72,26.11,17.51,1.75,0.0,184.0
2017-04-27,39.39,27.53,31.42,2.015,0.0,
2017-04-28,41.31,25.14,31.11,2.42,0.34,90.0
2017-04-29,41.14,26.52,23.13,1.6749999999999998,0.48,105.0
2017-04-30,39.56,27.04,26.0,1.5,0.0,95.0
2017-05-01,38.73,27.58,28.92,1.975,0.68,72.0
2017-05-02,39.04,24.59,39.18,3.015,2.04,66.0
2017-05-03,39.51,24.17,39.98,2.68,0.02,92.0
2017-05-04,40.64,24.82,33.56,2.28,0.0,100.0
2017-05-05,41.46,25.96,29.02,2.405,0.04,112.0
2017-05-06,42.28,26.52,32.43,2.375,0.03,115.0
2017-05-07,40.2,27.29,36.27,2.4800000000000004,0.24,98.0
2017-05-08,39.99,27.12,36.47,2.18,0.0,88.0
2017-05-09,39.78,27.84,35.62,2.21,1.2,97.0
2017-05-10,34.84,25.03,62.37,2.255,23.16,76.0
2017-05-11,36.69,23.58,56.33,2.125,0.02,75.0
2017-05-12,37.92,23.39,50.49,2.525,0.0,80.0
2017-05-13,39.85,23.9,46.21,2.385,0.0,86.0
2017-05-14,41.25,26.13,42.35,2.4,0.37,106.0
2017-05-15,41.67,27.5,39.86,3.385,0.78,82.0
2017-05-16,43.05,28.41,32.97,3.775,0.0,116.0
2017-05-17,40.89,29.79,31.22,4.655,0.0,136.0
2017-05-18,42.93,27.95,27.03,4.29,0.0,136.0
2017-05-19,43.28,28.28,23.9,2.785,0.04,190.0
2017-05-20,43.38,28.23,25.23,2.88,0.0,154.0
2017-05-21,42.07,29.16,29.66,2.605,0.01,123.0
2017-05-22,41.36,28.68,33.23,2.895,0.26,94.0
2017-05-23,41.44,29.96,32.3,2.755,0.61,124.0
2017-05-24,42.22,28.53,30.69,2.545,0.06,152.0
2017-05-25,42.79,28.97,33.34,2.385,0.0,112.0
2017-05-26,40.88,28.23,40.0,2.58,2.51,120.0
2017-05-27,40.89,27.29,44.21,3.085,1.75,98.0
2017-05-28,41.39,26.79,45.73,2.315,3.43,88.0
2017-05-29,40.24,28.65,38.63,3.9,0.28,83.0
2017-05-30,40.25,28.01,37.35,4.965,0.07,100.0
2017-05-31,40.42,27.77,41.15,4.529999999999999,0.04,65.0
2017-06-01,39.83,26.53,45.49,3.585,0.0,26.0
2017-06-02,40.65,29.31,37.04,2.825,0.03,58.0
