Date,TempMax,TempMin,Humidity,Wind,Rainfall,AQI
2017-01-01,28.79,11.98,49.85,1.085,0.0,
2017-01-02,28.52,13.68,51.48,1.495,0.0,
2017-01-03,27.2,10.72,56.12,1.9,0.0,
2017-01-04,26.91,10.17,55.9,1.4,0.0,
2017-01-05,28.18,11.35,52.67,0.86,0.0,
2017-01-06,28.69,10.26,52.46,1.355,0.0,
2017-01-07,28.42,11.02,51.62,2.1,0.0,
2017-01-08,28.06,11.83,56.96,1.71,0.0,
2017-01-09,27.67,12.55,65.14,1.83,1.65,
2017-01-10,26.96,13.6,64.56,1.83,0.23,
2017-01-11,26.03,10.5,53.49,1.6,0.0,
2017-01-12,24.67,7.86,44.29,1.68,0.0,
2017-01-13,25.71,7.01,41.53,1.835,0.0,
2017-01-14,26.12,6.69,40.09,1.75,0.0,
2017-01-15,28.7,8.61,41.54,1.6150000000000002,0.0,
2017-01-16,29.25,11.58,43.95,1.115,0.0,
2017-01-17,29.68,14.36,47.75,0.72,0.0,
2017-01-18,30.41,14.41,49.04,1.3050000000000002,0.0,
2017-01-19,30.21,12.67,54.87,1.95,0.0,
2017-01-20,29.94,13.41,53.96,2.275,0.0,
2017-01-21,31.07,13.51,50.1,1.77,0.0,
2017-01-22,31.57,13.87,45.4,1.5750000000000002,0.0,
2017-01-23,31.8,14.03,45.5,1.705,0.0,
2017-01-24,31.88,13.73,45.87,1.89,0.0,
2017-01-25,31.06,12.93,46.92,1.84,0.0,
2017-01-26,32.21,13.01,44.76,2.065,0.02,
2017-01-27,32.64,16.35,44.45,2.125,0.0,
2017-01-28,30.49,14.47,41.29,2.275,0.0,
2017-01-29,31.46,11.58,27.24,1.5699999999999998,0.0,
2017-01-30,33.59,13.25,24.86,0.905,0.0,
2017-01-31,33.44,14.74,26.4,1.015,0.0,
2017-02-01,32.67,13.23,28.06,1.65,0.0,
2017-02-02,32.79,14.05,38.53,1.755,0.0,
2017-02-03,32.02,13.73,39.62,1.69,0.0,
2017-02-04,33.93,13.71,34.05,1.69,0.0,
2017-02-05,33.74,13.16,30.57,1.285,0.0,
2017-02-06,33.44,15.68,30.27,1.435,0.0,
2017-02-07,32.6,14.74,23.25,1.615,0.0,
2017-02-08,34.05,13.81,22.37,1.4549999999999998,0.0,
2017-02-09,34.39,16.04,26.43,1.015,0.0,
2017-02-10,32.92,15.62,28.63,2.115,0.0,
